(4.6155266761779785, 2.0441300868988037, 5.817515850067139, 2.081695795059204, 0.733695924282074, 0.7973425388336182, 2.474832534790039, 4.056060791015625, 2.2085940837860107)	3	-10	(4.6155266761779785, 2.0441300868988037, 5.817515850067139, 2.081695795059204, 0.733695924282074, 0.7973425388336182, 2.474832534790039, 4.056060791015625, 2.2085940837860107)	False
(4.6155266761779785, 2.0441300868988037, 5.817515850067139, 2.081695795059204, 0.733695924282074, 0.7973425388336182, 2.474832534790039, 4.056060791015625, 2.2085940837860107)	1	-1	(1.9141944646835327, 6.0, 4.046133995056152, 0.7812713980674744, 0.7368842363357544, 6.0, 6.0, 2.1007401943206787, 3.7155258655548096)	False
(1.9141944646835327, 6.0, 4.046133995056152, 0.7812713980674744, 0.7368842363357544, 6.0, 6.0, 2.1007401943206787, 3.7155258655548096)	4	-10	(6.0, 3.877326726913452, 0.7915140390396118, 0.6904675960540771, 4.595215320587158, 2.5824434757232666, 2.106189727783203, 4.912424564361572, 6.0)	False
(6.0, 3.877326726913452, 0.7915140390396118, 0.6904675960540771, 4.595215320587158, 2.5824434757232666, 2.106189727783203, 4.912424564361572, 6.0)	0	5	(6.0, 3.920651912689209, 0.7199265360832214, 0.664462149143219, 4.605766296386719, 6.0, 2.0058047771453857, 3.7895214557647705, 6.0)	False
(6.0, 3.920651912689209, 0.7199265360832214, 0.664462149143219, 4.605766296386719, 6.0, 2.0058047771453857, 3.7895214557647705, 6.0)	3	-10	(5.006307125091553, 3.829483985900879, 0.7202972769737244, 0.6149829626083374, 0.7306755185127258, 2.3718836307525635, 3.979635000228882, 2.12934947013855, 6.0)	False
(5.006307125091553, 3.829483985900879, 0.7202972769737244, 0.6149829626083374, 0.7306755185127258, 2.3718836307525635, 3.979635000228882, 2.12934947013855, 6.0)	2	-1	(5.006307125091553, 3.829483985900879, 0.7202972769737244, 0.6149829626083374, 0.7306755185127258, 2.3718836307525635, 3.979635000228882, 2.12934947013855, 6.0)	False
(5.006307125091553, 3.829483985900879, 0.7202972769737244, 0.6149829626083374, 0.7306755185127258, 2.3718836307525635, 3.979635000228882, 2.12934947013855, 6.0)	1	-1	(6.0, 3.8353378772735596, 0.6060892343521118, 0.5714126825332642, 4.463090419769287, 2.3909623622894287, 2.226975202560425, 2.1363985538482666, 6.0)	False
(6.0, 3.8353378772735596, 0.6060892343521118, 0.5714126825332642, 4.463090419769287, 2.3909623622894287, 2.226975202560425, 2.1363985538482666, 6.0)	3	-10	(5.789247035980225, 0.5779936909675598, 0.49176740646362305, 0.539807915687561, 2.297086238861084, 4.1954345703125, 1.8960754871368408, 3.5659003257751465, 6.0)	False
(5.789247035980225, 0.5779936909675598, 0.49176740646362305, 0.539807915687561, 2.297086238861084, 4.1954345703125, 1.8960754871368408, 3.5659003257751465, 6.0)	3	-10	(2.0107061862945557, 0.46445974707603455, 0.46241798996925354, 4.335414886474609, 2.2144339084625244, 3.832362651824951, 1.9653043746948242, 6.0, 4.192551612854004)	False
(2.0107061862945557, 0.46445974707603455, 0.46241798996925354, 4.335414886474609, 2.2144339084625244, 3.832362651824951, 1.9653043746948242, 6.0, 4.192551612854004)	1	-1	(0.4635583758354187, 0.45019474625587463, 0.589900553226471, 2.1778573989868164, 3.780604362487793, 1.9077023267745972, 6.0, 5.462241172790527, 2.3219218254089355)	False
