1,-346
2,-371
3,-342
4,-318
5,-337
6,-336
7,-727
8,-560
9,-336
10,-276
11,-213
12,-338
13,-296
14,-311
15,-291
16,-294
17,-342
18,-307
19,-231
20,-265
21,-292
22,-235
23,-285
24,-262
25,-263
26,-280
27,-222
28,-304
29,-310
30,-267
31,-265
32,-230
33,-267
34,-285
35,-289
36,-347
37,-307
38,-315
39,-307
40,-283
41,-281
42,-252
43,-293
44,-203
45,-181
46,-281
47,-262
48,-221
49,-269
50,-265
51,-274
52,-287
53,-292
54,-271
55,-291
56,-228
57,-289
58,-303
59,-218
60,-311
61,-272
62,-271
63,-265
64,-261
65,-279
66,-228
67,-304
68,-298
69,-221
70,-307
71,-241
72,-270
73,-261
74,-335
75,-304
76,-279
77,-194
78,-277
79,-283
80,-306
81,-294
82,-239
83,-261
84,-265
85,-272
86,-250
87,-178
88,-269
89,-264
90,-249
91,-339
92,-306
93,-235
94,-280
95,-286
96,-286
97,-280
98,-282
99,-242
100,-276
101,-273
102,-266
103,-265
104,-249
105,-137
106,-256
107,-259
108,-205
109,-277
110,-181
111,-234
112,-278
113,-206
114,-162
115,-284
116,-236
117,-274
118,-280
119,-258
120,-255
121,-265
122,-220
123,-244
124,-262
125,-293
126,-261
127,-278
128,-260
129,-114
130,-230
131,-252
132,-265
133,-272
134,-230
135,-260
136,-230
137,-284
138,-256
139,-268
140,-244
141,-193
142,-265
143,-170
144,-283
145,-283
146,-268
147,-242
148,-203
149,-267
150,-273
151,-274
152,-233
153,-282
154,-199
155,-284
156,-241
157,-242
158,-257
159,-304
160,-263
161,-241
162,-275
163,-195
164,-91
165,-75
166,-270
167,-170
168,-268
169,-266
170,-220
171,-222
172,-156
173,-203
174,-274
175,-324
176,-305
177,-312
178,-220
179,-215
180,-244
181,-307
182,-287
183,-110
184,-297
185,-291
186,-148
187,-241
188,-341
189,-242
190,-231
191,-254
192,-283
193,-264
194,-280
195,-281
196,-303
197,-192
198,-280
199,-266
200,-76
201,-186
202,-277
203,-321
204,-222
205,-267
206,-277
207,-166
208,-197
209,-293
210,29
211,-286
212,-234
213,-237
214,-265
215,-299
216,-269
217,-257
218,-256
219,-240
220,-288
221,-282
222,49
223,-276
224,-214
225,27
226,-275
227,-236
228,-274
229,-210
230,-190
231,-287
232,-282
233,-128
234,-270
235,-299
236,-219
237,-168
238,-286
239,-216
240,-287
241,-268
242,-213
243,-310
244,-293
245,-216
246,-301
247,211
248,-310
249,-238
250,-105
251,-305
252,-138
253,-253
254,-330
255,-278
256,-248
257,-267
258,-199
259,-270
260,-263
261,-258
262,-173
263,-270
264,-172
265,-283
266,-217
267,-235
268,-196
269,-181
270,-277
271,-271
272,-280
273,-211
274,-281
275,-283
276,-190
277,-11
278,-288
279,-213
280,-206
281,-295
282,-252
283,-229
284,-162
285,-287
286,-303
287,-280
288,-203
289,-269
290,-192
291,-299
292,-278
293,-131
294,-205
295,-195
296,-64
297,-235
298,-160
299,-277
300,-28
301,-284
302,-291
301,-174
302,-147
303,-271
304,-265
305,-167
306,-243
307,-158
308,-69
309,-206
310,-191
301,-265
302,-231
303,-275
304,-147
305,85
306,-283
307,-213
308,-256
309,-260
310,-233
311,-197
312,-220
313,-1
314,-273
315,-218
316,-202
317,-158
318,-160
319,-265
320,285
321,-90
322,-198
323,-256
324,-308
