(0.718351423740387, 6.0, 1.917830228805542, 4.534977912902832, 4.663595676422119, 0.978167712688446, 1.2367498874664307, 2.5503971576690674, 4.362117290496826, 2.2626888751983643, 0.5825438499450684)	0	5	(0.7971364259719849, 6.0, 1.8110921382904053, 3.202193021774292, 1.2174094915390015, 0.8712754249572754, 1.103523850440979, 2.4612929821014404, 3.970864772796631, 2.2035114765167236, 0.6146516799926758)	False
(0.718351423740387, 6.0, 1.917830228805542, 4.534977912902832, 4.663595676422119, 0.978167712688446, 1.2367498874664307, 2.5503971576690674, 4.362117290496826, 2.2626888751983643, 0.5825438499450684)	0	5	(0.7971364259719849, 6.0, 1.8110921382904053, 3.202193021774292, 1.2174094915390015, 0.8712754249572754, 1.103523850440979, 2.4612929821014404, 3.970864772796631, 2.2035114765167236, 0.6146516799926758)	False
(0.7971364259719849, 6.0, 1.8110921382904053, 3.202193021774292, 1.2174094915390015, 0.8712754249572754, 1.103523850440979, 2.4612929821014404, 3.970864772796631, 2.2035114765167236, 0.6146516799926758)	0	5	(0.8758400678634644, 6.0, 1.7338999509811401, 3.0272178649902344, 1.0284496545791626, 0.7633850574493408, 0.9676182270050049, 2.392408847808838, 3.9082157611846924, 2.143233060836792, 0.7654202580451965)	False
(0.8758400678634644, 6.0, 1.7338999509811401, 3.0272178649902344, 1.0284496545791626, 0.7633850574493408, 0.9676182270050049, 2.392408847808838, 3.9082157611846924, 2.143233060836792, 0.7654202580451965)	2	-1	(0.8758400678634644, 6.0, 1.7338999509811401, 3.0272178649902344, 1.0284496545791626, 0.7633850574493408, 0.9676182270050049, 2.392408847808838, 3.9082157611846924, 2.143233060836792, 0.7654202580451965)	False
(0.8758400678634644, 6.0, 1.7338999509811401, 3.0272178649902344, 1.0284496545791626, 0.7633850574493408, 0.9676182270050049, 2.392408847808838, 3.9082157611846924, 2.143233060836792, 0.7654202580451965)	2	-1	(0.8797222375869751, 6.0, 1.6735316514968872, 6.0, 6.0, 0.6302047371864319, 0.7670382857322693, 2.4535739421844482, 6.0, 5.4424638748168945, 6.0)	False
(0.8797222375869751, 6.0, 1.6735316514968872, 6.0, 6.0, 0.6302047371864319, 0.7670382857322693, 2.4535739421844482, 6.0, 5.4424638748168945, 6.0)	2	-1	(0.8438442349433899, 4.147027969360352, 6.0, 1.6409976482391357, 2.802060604095459, 0.7515996098518372, 0.5592949390411377, 0.7094258666038513, 2.2908122539520264, 3.815460681915283, 2.114478588104248)	False
(0.8438442349433899, 4.147027969360352, 6.0, 1.6409976482391357, 2.802060604095459, 0.7515996098518372, 0.5592949390411377, 0.7094258666038513, 2.2908122539520264, 3.815460681915283, 2.114478588104248)	2	-1	(0.8234020471572876, 5.933863639831543, 6.0, 1.5216795206069946, 5.334755897521973, 6.0, 0.5153726935386658, 0.5044881701469421, 0.6826951503753662, 2.1595988273620605, 2.0373141765594482)	False
(0.8234020471572876, 5.933863639831543, 6.0, 1.5216795206069946, 5.334755897521973, 6.0, 0.5153726935386658, 0.5044881701469421, 0.6826951503753662, 2.1595988273620605, 2.0373141765594482)	2	-1	(0.8093287944793701, 2.995149850845337, 4.007850170135498, 6.0, 1.5131828784942627, 2.6551787853240967, 0.7013399600982666, 0.39774176478385925, 0.44474509358406067, 0.657501757144928, 5.245771884918213)	False
(0.8093287944793701, 2.995149850845337, 4.007850170135498, 6.0, 1.5131828784942627, 2.6551787853240967, 0.7013399600982666, 0.39774176478385925, 0.44474509358406067, 0.657501757144928, 5.245771884918213)	0	5	(0.7991301417350769, 5.128650188446045, 5.720263481140137, 6.0, 1.3553287982940674, 5.153292179107666, 2.6807620525360107, 0.5072664022445679, 0.33696332573890686, 0.36973416805267334, 3.7707154750823975)	False
(0.7991301417350769, 5.128650188446045, 5.720263481140137, 6.0, 1.3553287982940674, 5.153292179107666, 2.6807620525360107, 0.5072664022445679, 0.33696332573890686, 0.36973416805267334, 3.7707154750823975)	0	5	(0.7886682152748108, 3.119974374771118, 5.626832962036133, 6.0, 1.2364343404769897, 5.035786151885986, 2.511561155319214, 0.5282526612281799, 0.3518393039703369, 0.27803927659988403, 0.5348430275917053)	False
